pickup_day,pickup_hour,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,trip_duration,passenger_count
6,17,-73.9823455810547,40.7759780883789,-74.0123977661133,40.7080078125,1646,1
5,19,-73.9582443237305,40.7687606811523,-73.9655456542969,40.7715263366699,166,1
7,17,-74.0154342651367,40.7108688354492,-73.9823303222656,40.7718658447266,2032,1
6,20,-74.0046615600586,40.7522392272949,-73.9988708496094,40.7495193481445,156,1
7,22,-73.9886932373047,40.7587814331055,-73.9760437011719,40.7358512878418,1132,6
7,19,-74.0071411132813,40.7057800292969,-73.9446182250977,40.7144813537598,772,1
5,13,-73.9801788330078,40.7608604431152,-73.9494552612305,40.7962188720703,981,1
4,6,-73.9907150268555,40.7559204101563,-73.9898452758789,40.7724266052246,414,5
6,22,-73.9590072631836,40.6777801513672,-73.9154357910156,40.681999206543,1526,2
7,18,-73.9620056152344,40.7789573669434,-73.9778518676758,40.7831077575684,336,1
1,4,-73.9413223266602,40.83935546875,-73.9270095825195,40.8309783935547,346,2
6,19,-73.9702529907227,40.7597885131836,-73.9821548461914,40.7684059143066,501,1
5,21,-73.9850311279297,40.7280120849609,-73.9994201660156,40.7341117858887,431,1
6,16,-73.9938049316406,40.7268295288086,-73.9649200439453,40.7649993896484,1169,1
1,1,-74.0000457763672,40.7346534729004,-73.9917755126953,40.7267379760742,302,1
7,19,-73.9899978637695,40.7380065917969,-73.9851760864258,40.7191505432129,1160,2
7,3,-73.972526550293,40.7500114440918,-73.9567108154297,40.7480087280273,743,1
4,17,-73.7820053100586,40.6446838378906,-73.9527359008789,40.8248252868652,3321,2
5,16,-73.9986572265625,40.7551765441895,-73.9843368530273,40.7739601135254,401,1
1,20,-74.0071716308594,40.7179145812988,-73.9936828613281,40.6957664489746,919,1
6,9,-73.9799957275391,40.7779121398926,-73.969367980957,40.7851982116699,337,1
4,9,-74.0168304443359,40.7063293457031,-74.0100936889649,40.7210197448731,521,1
6,6,-73.9751281738281,40.7520790100098,-73.9822463989258,40.7568435668945,243,1
7,2,-73.9483032226563,40.7705497741699,-73.9835433959961,40.7384948730469,478,3
5,9,-73.981330871582,40.7532234191895,-73.9913787841797,40.7389144897461,397,1
6,20,-73.9660339355469,40.7621192932129,-73.9730758666992,40.7903518676758,829,1
4,2,-73.9986267089844,40.7381057739258,-73.9779510498047,40.7836990356445,1144,1
3,20,-73.9759368896484,40.7597808837891,-73.9796981811524,40.7546882629395,70,1
7,17,-73.9814987182617,40.753231048584,-73.9824905395508,40.7276229858398,868,2
3,21,-73.9895095825195,40.7626113891602,-74.0020065307617,40.7457885742188,273,3
3,22,-73.9775924682617,40.7642707824707,-73.96630859375,40.7677268981934,283,2
6,19,-73.9919967651367,40.7439804077148,-73.992301940918,40.7491607666016,263,5
5,8,-73.9661331176758,40.7678604125977,-73.9823837280274,40.7737121582031,904,1
5,23,-74.0077285766602,40.7241363525391,-73.9858169555664,40.7630157470703,795,2
2,14,-73.9888076782227,40.7581748962402,-73.9521713256836,40.7843284606934,1171,1
7,16,-73.9659118652344,40.7621917724609,-73.9813995361328,40.7735404968262,633,2
4,19,-73.9735717773438,40.7637481689453,-73.9839248657227,40.7696266174316,551,1
1,2,-73.9981307983399,40.7154998779297,-73.9352264404297,40.8432006835938,2726,1
2,20,-73.9851913452149,40.7602920532227,-73.9958877563477,40.7533073425293,468,1
3,21,-73.9780654907227,40.7540740966797,-73.9495086669922,40.7854461669922,694,1
7,19,-73.9486923217774,40.7740097045898,-73.988166809082,40.7204208374024,1151,1
5,7,-73.9891738891602,40.7529754638672,-73.9744567871094,40.759521484375,536,1
2,8,-73.98681640625,40.7512359619141,-73.9998168945313,40.7574882507324,366,1
6,9,-73.9725875854492,40.7958984375,-73.9797668457031,40.7862129211426,193,1
3,21,-73.9580078125,40.7694129943848,-73.9771194458008,40.747730255127,514,1
7,18,-73.9955291748047,40.7308349609375,-73.9888000488281,40.7368621826172,344,1
4,15,-73.9758834838867,40.7889556884766,-73.9567031860352,40.778133392334,866,1
2,14,-74.0149612426758,40.7095108032227,-73.9736785888672,40.754581451416,1093,6
7,23,-73.9999618530274,40.7618293762207,-73.9856719970703,40.7477722167969,486,1
3,18,-73.9900207519531,40.7418594360352,-73.9951324462891,40.7339706420898,170,1
2,23,-73.9613952636719,40.771614074707,-73.958740234375,40.7638092041016,287,1
7,21,-73.9940414428711,40.7512397766113,-73.99951171875,40.7604904174805,326,1
4,19,-73.9772262573242,40.7847366333008,-73.9749069213867,40.7875747680664,63,1
7,8,-73.9660034179688,40.7539863586426,-73.9771041870117,40.7585945129395,338,1
6,12,-73.9841156005859,40.7485847473145,-74.1766738891602,40.6937408447266,2001,1
1,13,-73.9796829223633,40.7522697448731,-73.9625778198242,40.7782211303711,815,2
6,12,-73.9735107421875,40.7436485290527,-73.9605712890625,40.6602020263672,1232,2
2,15,-73.9678802490234,40.7627868652344,-73.9889526367188,40.7368011474609,610,2
4,19,-73.9701309204102,40.7842216491699,-73.9618988037109,40.7988700866699,331,2
5,9,-73.9980697631836,40.7457275390625,-73.9886016845703,40.7480964660645,327,1
3,18,-73.9911422729492,40.747730255127,-73.9981842041016,40.7252349853516,757,1
5,14,-73.9579849243164,40.7695503234863,-73.9921112060547,40.7492828369141,1768,1
1,13,-73.9557113647461,40.7877235412598,-73.9464874267578,40.7727661132813,618,1
5,23,-73.8629531860352,40.7690010070801,-73.9596633911133,40.7727661132813,1300,2
2,4,-73.9751281738281,40.7877388000488,-73.9678497314453,40.7626991271973,513,1
7,11,-73.9817810058594,40.7283782958984,-73.9934921264648,40.7189102172852,299,1
2,19,-73.9686508178711,40.7592506408691,-73.9551162719727,40.7733993530273,310,6
6,14,-73.967643737793,40.7876930236816,-73.9676971435547,40.8016586303711,565,1
4,7,-74.0009994506836,40.740161895752,-74.0146026611328,40.7156028747559,627,1
1,21,-73.987434387207,40.7654991149902,-73.991569519043,40.7495231628418,359,2
1,13,-73.9784545898438,40.7523078918457,-73.9808578491211,40.7631683349609,419,2
5,12,-73.9910278320313,40.7332725524902,-73.9998245239258,40.7267913818359,477,1
7,2,-73.9897994995117,40.7189292907715,-73.9925231933594,40.7354888916016,738,1
7,2,-73.9919662475586,40.7261199951172,-73.9883575439453,40.7226905822754,366,2
7,10,-73.9850463867188,40.7737922668457,-73.9582824707031,40.8105239868164,607,1
4,15,-73.9829483032227,40.7477760314941,-73.9672393798828,40.7692832946777,642,1
1,14,-73.9811325073242,40.7378311157227,-73.9990463256836,40.7374114990234,529,1
7,17,-73.9838256835938,40.7652587890625,-74.0049133300781,40.7468223571777,789,1
3,7,-74.0084381103516,40.7202186584473,-73.9832229614258,40.7350425720215,877,1
3,9,-73.9596862792969,40.7985572814941,-73.9528579711914,40.7867851257324,396,1
5,7,-73.9907684326172,40.7508888244629,-73.9779357910156,40.754825592041,437,1
6,13,-73.9909896850586,40.7657661437988,-73.9950103759766,40.7552642822266,731,1
5,8,-73.9909744262695,40.7552452087402,-73.9868927001953,40.7609672546387,159,1
6,7,-73.9910049438477,40.7333183288574,-73.9860992431641,40.7438888549805,258,2
6,2,-73.9655532836914,40.7169036865234,-73.9727401733398,40.6860313415527,862,2
4,14,-73.9530410766602,40.7782669067383,-73.9531326293945,40.7855987548828,331,1
5,20,-73.9708709716797,40.7642784118652,-73.955436706543,40.7855033874512,267,1
4,21,-73.9918670654297,40.7498588562012,-73.9884033203125,40.7316932678223,476,1
2,18,-73.9836578369141,40.746898651123,-73.9720687866211,40.7618713378906,304,1
1,12,-73.9662246704102,40.7947158813477,-73.9446411132813,40.8139953613281,706,1
6,16,-73.9887466430664,40.7446746826172,-73.7846908569336,40.6432075500488,4489,1
3,20,-74.0013122558594,40.7317199707031,-74.0000915527344,40.7241287231445,473,2
7,15,-73.987548828125,40.750358581543,-73.9922409057617,40.7501182556152,386,1
2,11,-73.9776306152344,40.7327651977539,-73.9754257202149,40.7411079406738,886,2
5,14,-73.9685668945313,40.7883682250977,-73.9793395996094,40.7498168945313,1528,1
4,22,-73.9932098388672,40.762809753418,-73.9791259765625,40.7869873046875,576,1
7,1,-73.9848785400391,40.7240905761719,-73.9977111816406,40.7565994262695,873,1
7,17,-73.9643936157227,40.7607574462891,-73.971549987793,40.757022857666,269,1
7,22,-73.9956283569336,40.7491073608399,-73.9865646362305,40.7607955932617,717,1
3,0,-73.9964904785156,40.742000579834,-73.9192047119141,40.7430419921875,1148,1
3,21,-73.9618530273438,40.7713012695313,-74.001594543457,40.7418403625488,1120,1
1,2,-73.9889602661133,40.7217254638672,-73.9774856567383,40.7450981140137,616,1
6,3,-73.984260559082,40.7430038452149,-73.9960098266602,40.687084197998,1029,1
3,8,-73.9800491333008,40.7662506103516,-74.0009231567383,40.7584915161133,719,2
6,13,-73.9608688354492,40.7749824523926,-73.9862670898438,40.7775535583496,1069,1
3,11,-73.9749145507813,40.7879524230957,-73.9620056152344,40.7979431152344,247,1
6,22,-73.9603576660156,40.7619132995606,-73.9561996459961,40.7676544189453,74,1
7,18,-73.9729995727539,40.748649597168,-73.9600677490234,40.7621994018555,255,4
7,1,-73.9935531616211,40.7200393676758,-73.9179916381836,40.7421112060547,753,1
6,20,-73.9880752563477,40.7479934692383,-74.0065841674805,40.7370300292969,824,2
3,6,-74.0084915161133,40.7143211364746,-74.0099334716797,40.7206764221191,158,1
2,16,-73.9541473388672,40.7790489196777,-73.9519653320313,40.7863883972168,167,1
1,0,-73.9681396484375,40.7921295166016,-73.9563827514649,40.7722015380859,593,1
5,13,-73.963020324707,40.7723960876465,-73.9822692871094,40.7747497558594,495,1
6,5,-74.0088119506836,40.7183876037598,-73.9233703613281,40.6646728515625,1523,2
3,12,-73.958122253418,40.7731590270996,-73.9518890380859,40.7780113220215,118,1
5,15,-73.9552841186524,40.8200721740723,-73.9453125,40.8076362609863,924,1
1,10,-73.9819412231445,40.7652854919434,-73.9842147827149,40.7695465087891,262,1
1,6,-73.9996871948242,40.7433319091797,-73.9919586181641,40.7399749755859,97,1
4,1,-73.9781723022461,40.7632522583008,-73.9917602539063,40.7425689697266,407,1
7,18,-73.9958114624024,40.7233467102051,-74.001838684082,40.7404136657715,705,2
6,22,-73.9846267700195,40.7453117370606,-73.9386367797852,40.7990798950195,1006,1
